open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1751202000000,108189.88,108228.28,108012.82,108051.52,254.59705,1751205599999,27527230.3421311,55475,95.61148,10338677.3188177,0
1751205600000,108051.53,108215.12,107777.77,107948.08,346.17479,1751209199999,37368857.8506819,58257,177.96324,19207646.5859106,0
1751209200000,107948.07,108034.13,107650.0,107750.72,345.2614,1751212799999,37248410.7398182,76229,178.27049,19235490.7593137,0
1751212800000,107750.72,107792.05,107320.0,107552.03,545.10349,1751216399999,58636907.5843021,93432,268.82974,28919608.6353591,0
1751216400000,107552.03,107592.17,107316.46,107544.44,341.27998,1751219999999,36673420.9766591,60555,229.26701,24638633.2271793,0
1751220000000,107544.44,107718.02,107445.4,107640.01,195.17898,1751223599999,20992323.0116608,38217,127.4735,13709472.062541,0
1751223600000,107640.01,107640.01,107365.96,107406.81,106.96705,1751227199999,11498091.8793554,31551,45.3628,4876072.5242127,0
1751227200000,107406.8,107494.06,107359.78,107359.79,127.90868,1751230799999,13742174.8255587,28377,50.5804,5434131.3696656,0
1751230800000,107359.79,107734.59,107250.0,107543.48,254.81614,1751234399999,27388407.7025163,48528,151.5619,16290818.8949098,0
1751234400000,107543.48,108277.23,107543.48,108079.9,562.58019,1751237999999,60754046.276311,143868,342.41467,36977686.2779498,0
1751238000000,108079.91,108436.47,108013.28,108356.93,513.90412,1751241599999,55652756.9047649,104039,232.57191,25186176.9856029,0
1751241600000,108356.93,108789.99,108255.81,108713.81,695.19445,1751245199999,75474426.6080041,111861,382.60878,41543212.6386258,0
1751245200000,108713.8,108770.0,108396.18,108493.93,354.63098,1751248799999,38518155.1316696,78002,150.89581,16389980.4202254,0
1751248800000,108493.92,108652.0,108445.01,108479.81,283.7017,1751252399999,30796285.0911644,50671,144.24813,15657435.2980325,0
1751252400000,108479.99,108580.0,108419.56,108503.74,230.64114,1751255999999,25023629.3781549,34941,96.13005,10429652.0088706,0
1751256000000,108503.74,108538.76,108301.6,108314.99,265.0143,1751259599999,28731419.5483845,33894,77.8475,8440976.5896383,0
1751259600000,108314.98,108380.0,108168.48,108280.65,230.27709,1751263199999,24934220.9009711,38596,109.12908,11816657.4253883,0
1751263200000,108280.66,108299.99,107518.88,107571.72,588.6705,1751266799999,63489174.9709699,83432,210.81473,22731432.9428765,0
1751266800000,107571.73,107746.13,107481.31,107614.08,497.31364,1751270399999,53516697.6777034,64961,270.61251,29118296.7802776,0
1751270400000,107614.07,107747.76,107459.0,107512.89,368.679,1751273999999,39662491.7359788,49056,175.44992,18875715.6360603,0
1751274000000,107512.89,107704.98,107466.18,107478.77,269.13675,1751277599999,28953944.9677378,41253,110.96451,11938387.0077262,0
1751277600000,107478.78,107649.5,107400.0,107649.49,263.79321,1751281199999,28363213.1467193,36197,116.78991,12557822.4709693,0
1751281200000,107649.5,107964.33,107624.99,107654.2,340.59546,1751284799999,36709993.0238526,44058,177.5906,19140069.153079,0
1751284800000,107654.21,107824.31,107561.16,107570.58,362.20383,1751288399999,39002221.3590086,45926,119.43107,12861325.1646787,0
1751288400000,107570.59,107858.79,107482.56,107525.49,546.11194,1751291999999,58785070.1051022,107276,181.31257,19520124.6002389,0
1751292000000,107525.49,107641.31,106777.77,106803.32,1166.01856,1751295599999,125004760.0947525,215099,444.66476,47667838.1311833,0
1751295600000,106803.32,107796.2,106733.33,107580.46,905.70004,1751299199999,97113956.7778504,196928,514.63081,55188555.5105825,0
1751299200000,107580.47,107807.94,107281.5,107599.96,413.06794,1751302799999,44426572.906609,99414,192.14973,20663638.2079598,0
1751302800000,107599.96,107792.99,107429.39,107462.94,346.53424,1751306399999,37302259.6315826,82110,132.22363,14233151.1862709,0
1751306400000,107462.95,107614.9,107116.4,107242.01,230.18635,1751309999999,24699064.9014974,72888,102.00259,10946519.0565996,0
1751310000000,107242.0,107794.19,107212.6,107745.97,325.03838,1751313599999,34946571.5320209,71715,194.53086,20916306.7951361,0
1751313600000,107745.97,107764.73,107480.0,107577.89,187.16819,1751317199999,20139200.1888136,49798,81.44596,8763359.270115,0
1751317200000,107577.88,107589.0,106900.02,107130.81,441.72872,1751320799999,47372170.1237338,61097,114.76393,12304588.7867758,0
1751320800000,107130.8,107317.53,107029.64,107112.75,203.265,1751324399999,21789844.0486005,59272,101.8229,10915969.9157061,0
1751324400000,107112.76,107232.59,107063.04,107146.5,239.4535,1751327999999,25651808.4941761,45040,129.32096,13853522.7911957,0
