open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1764110400000,87529.81,87600.0,87322.64,87339.6,35.0838,1764110699999,3068889.1665438,20138,20.20448,1767638.8785451,0
1764110700000,87339.61,87425.26,87215.1,87343.99,42.70804,1764110999999,3729356.8794167,18665,17.80123,1554685.5636657,0
1764111000000,87344.0,87432.88,87242.38,87296.68,36.83405,1764111299999,3216775.7035808,10765,11.5902,1011925.2126797,0
1764111300000,87296.68,87722.92,87284.08,87642.41,137.58721,1764111599999,12042583.3530444,22386,86.67341,7585332.5339476,0
1764111600000,87642.41,87678.01,87400.01,87450.0,49.22365,1764111899999,4307396.8732181,21710,14.69227,1285713.1537293,0
1764111900000,87449.99,87739.37,87449.99,87736.02,70.24761,1764112199999,6154948.5239344,20146,41.8518,3668229.5266052,0
1764112200000,87736.03,87889.38,87654.03,87828.4,92.61264,1764112499999,8128447.6789056,22189,51.43817,4515111.3729851,0
1764112500000,87828.4,87828.4,87650.0,87711.57,42.17087,1764112799999,3700128.3131437,15760,13.62192,1195107.1784998,0
1764112800000,87711.57,87752.27,87552.44,87561.67,47.85285,1764113099999,4193410.6065673,13073,14.89307,1305214.8883609,0
1764113100000,87561.68,87624.44,87507.57,87534.25,36.30724,1764113399999,3178928.9098774,10276,19.61181,1716957.8969204,0
1764113400000,87534.26,87624.42,87472.0,87624.42,31.70039,1764113699999,2775060.9192967,9950,17.2917,1513621.0218943,0
1764113700000,87624.42,87649.99,87419.93,87469.14,55.67806,1764113999999,4871810.7048127,15612,10.14112,887385.0907613,0
1764114000000,87469.14,87519.38,87411.06,87421.03,19.17594,1764114299999,1676965.0159734,8853,7.64027,668134.4372261,0
1764114300000,87421.03,87495.33,87380.0,87443.17,37.54822,1764114599999,3282694.824094,9416,16.32572,1427357.6556295,0
1764114600000,87443.16,87455.6,87334.15,87373.44,14.71169,1764114899999,1285615.3195843,8190,7.68165,671298.6964503,0
1764114900000,87371.76,87393.56,87328.89,87369.96,12.28049,1764115199999,1072950.7909195,5984,7.21802,630659.619656,0
1764115200000,87369.97,87604.0,87344.34,87604.0,89.28729,1764115499999,7812893.2738341,17979,54.46722,4767574.0586057,0
1764115500000,87604.0,87621.8,87482.05,87488.2,34.799,1764115799999,3046455.8411413,13173,10.46905,916581.6822406,0
1764115800000,87488.21,87543.84,87450.37,87467.44,25.65614,1764116099999,2244490.4479261,8619,9.40524,822834.7610567,0
1764116100000,87467.45,87599.99,87376.0,87599.99,30.87635,1764116399999,2700348.425497,12238,15.70451,1373609.8098715,0
1764116400000,87600.0,87770.0,87535.05,87718.39,61.72765,1764116699999,5410450.9629977,17941,33.47017,2934024.1509386,0
1764116700000,87718.39,87718.4,87524.75,87630.66,53.94108,1764116999999,4725838.7736431,13021,23.01027,2015821.0352771,0
1764117000000,87630.66,87674.86,87594.37,87651.03,22.76828,1764117299999,1995427.9476428,8716,11.50396,1008184.1655153,0
1764117300000,87651.04,87760.0,87478.2,87478.21,29.88718,1764117599999,2619456.6671714,17884,10.55708,925396.2725123,0
1764117600000,87478.2,87554.0,87396.25,87546.34,45.63385,1764117899999,3993062.2569452,15053,26.14268,2287433.6484824,0
1764117900000,87546.33,87709.15,87539.78,87699.63,34.93106,1764118199999,3060228.5678748,17162,23.69533,2075774.4528045,0
1764118200000,87699.63,87741.52,87604.0,87610.16,33.11761,1764118499999,2903228.0531224,15201,16.58926,1454400.9146046,0
1764118500000,87610.17,87627.22,87493.62,87573.51,30.13796,1764118799999,2638909.6398218,19532,17.88458,1565987.577127,0
1764118800000,87573.51,87573.51,87402.11,87402.11,37.34573,1764119099999,3267839.1439857,15622,19.92625,1743591.6900484,0
1764119100000,87402.1,87500.0,87338.05,87480.01,27.01711,1764119399999,2361584.9506518,14886,13.70805,1198157.2693709,0
1764119400000,87480.0,87540.0,87413.08,87522.66,22.85456,1764119699999,1999463.0524216,11288,13.07344,1143776.4710198,0
1764119700000,87522.66,87578.34,87480.0,87489.35,19.76813,1764119999999,1730304.4691642,11581,10.92287,956031.9428644,0
1764120000000,87489.36,87559.97,87462.91,87468.56,18.52455,1764120299999,1620854.1419106,9655,11.35214,993230.138746,0
1764120300000,87468.56,87660.0,87434.0,87591.6,29.63941,1764120599999,2595916.2602262,9864,21.05961,1844692.7151457,0
1764120600000,87591.6,87898.31,87550.0,87834.5,76.45059,1764120899999,6712262.7804885,20164,55.26845,4851849.0210901,0
1764120900000,87834.5,88033.56,87830.39,88023.89,106.79698,1764121199999,9394205.9919653,19275,75.08991,6605243.2105311,0
1764121200000,88023.9,88224.0,87991.39,88079.2,104.65181,1764121499999,9219915.7039482,29053,70.5112,6211901.5869744,0
1764121500000,88079.19,88096.07,87930.9,87968.06,92.11194,1764121799999,8108638.5825637,20648,55.19392,4859283.4349885,0
1764121800000,87968.05,88012.0,87900.0,87999.07,37.39673,1764122099999,3289085.4235425,13282,17.16453,1509547.8970085,0
1764122100000,87999.07,87999.08,87862.0,87921.94,52.94445,1764122399999,4654654.8028887,17783,23.52293,2068198.2904492,0
1764122400000,87921.94,87993.67,87892.81,87902.82,34.54588,1764122699999,3037854.8043192,14157,20.73589,1823357.6488315,0
1764122700000,87902.83,87919.08,87826.91,87851.26,22.39177,1764122999999,1967806.2276872,10846,7.31218,642596.6228267,0
1764123000000,87851.26,88029.87,87851.26,87997.85,39.38767,1764123299999,3464828.5385627,12981,26.72888,2350891.1922745,0
1764123300000,87997.86,88087.97,87920.88,87993.68,31.50974,1764123599999,2772771.0696785,12458,21.01684,1849464.9967515,0
1764123600000,87993.68,87993.68,87809.09,87824.1,43.62608,1764123899999,3834390.3267948,17985,22.79219,2003144.5296378,0
1764123900000,87824.1,87842.39,87761.54,87808.03,28.28505,1764124199999,2483467.3562839,11681,18.13958,1592673.8746456,0
1764124200000,87808.04,87830.92,87662.24,87776.34,58.77437,1764124499999,5158113.1773075,15440,24.30007,2132756.8021501,0
1764124500000,87776.34,87936.0,87764.0,87934.52,24.42233,1764124799999,2144830.2707109,10893,16.2873,1430556.758708,0
1764124800000,87934.52,87964.82,87850.01,87889.95,31.56256,1764125099999,2775131.1038652,11148,9.60687,844553.6387563,0
1764125100000,87889.96,87889.96,87750.0,87796.0,23.3026,1764125399999,2046077.8696583,9703,6.8444,600851.2994903,0
1764125400000,87796.0,87830.0,87782.2,87812.1,13.69557,1764125699999,1202513.3290681,6363,8.82166,774538.569201,0
