ts,interval,train_csv,n_samples,n_features,label_h,label_thr,alpha,max_iter,tol,p1_zeros,p1_zeros_clamped,wf_auc_mean,wf_pnl_sum
2025-12-26T10:38:26.284877+00:00,5m,data/live_cache/BTCUSDT_5m_live_30d.csv,8640,20,3,0.0005,1e-05,80000,1e-06,0.9426428369831752,0.9426428369831752,0.5053034407559565,-0.04556128241233663
2025-12-26T11:04:14.486485+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T12:34:14.147995+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,22,3,0.0005,1e-05,120000,1e-06,,,0.5187857724577004,0.17098354374083333
2025-12-26T12:37:30.006117+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T12:58:28.965803+00:00,1m,data/live_cache/BTCUSDT_1m_live_180d.csv,259203,20,3,0.0005,1e-05,120000,1e-06,0.6312454881267224,0.6312454881267224,0.6022141577043796,0.7631603528786332
2025-12-26T12:59:33.635761+00:00,15m,data/live_cache/BTCUSDT_15m_live_180d.csv,17280,20,3,0.0005,1e-05,120000,1e-06,0.6283674670783552,0.6283674670783552,0.49636279289555674,0.315733287151882
2025-12-26T12:59:45.814177+00:00,1h,data/live_cache/BTCUSDT_1h_live_180d.csv,4320,20,3,0.0005,1e-05,120000,1e-06,0.6157037484897522,0.6157037484897522,0.5224707741722894,0.1857568391255558
2025-12-26T21:59:50.835551+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T21:59:55.057422+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T21:59:59.341309+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T22:00:03.669461+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T22:00:07.921542+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T22:00:12.198871+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T22:00:16.400820+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
2025-12-26T22:00:22.212979+00:00,5m,data/live_cache/BTCUSDT_5m_live_180d.csv,51840,20,3,0.0005,1e-05,120000,1e-06,0.6209058594994692,0.6209058594994692,0.5227679350254281,0.275525548502772
