bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
200,2025-12-03 08:15:00+00:00,BTCUSDT,5m,92839.33,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,166.67142857142815,1000.0,1000.0,0.0,0.0
201,2025-12-03 08:20:00+00:00,BTCUSDT,5m,92859.98,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,162.76142857142779,1000.0,1000.0,0.0,0.0
202,2025-12-03 08:25:00+00:00,BTCUSDT,5m,92916.79,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,145.83428571428522,1000.0,1000.0,0.0,0.0
203,2025-12-03 08:30:00+00:00,BTCUSDT,5m,92814.56,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,142.25999999999996,1000.0,1000.0,0.0,0.0
204,2025-12-03 08:35:00+00:00,BTCUSDT,5m,92840.76,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,145.0421428571426,1000.0,1000.0,0.0,0.0
205,2025-12-03 08:40:00+00:00,BTCUSDT,5m,92811.09,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,142.92714285714257,1000.0,1000.0,0.0,0.0
206,2025-12-03 08:45:00+00:00,BTCUSDT,5m,92800.08,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,144.3450000000001,1000.0,1000.0,0.0,0.0
207,2025-12-03 08:50:00+00:00,BTCUSDT,5m,92715.61,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,148.2871428571421,1000.0,1000.0,0.0,0.0
208,2025-12-03 08:55:00+00:00,BTCUSDT,5m,92765.65,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,141.05714285714203,1000.0,1000.0,0.0,0.0
209,2025-12-03 09:00:00+00:00,BTCUSDT,5m,92905.2,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,146.64499999999887,1000.0,1000.0,0.0,0.0
210,2025-12-03 09:05:00+00:00,BTCUSDT,5m,92804.49,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.9385527946420505,155.24999999999895,1000.0,1000.0,0.0,0.0
211,2025-12-03 09:10:00+00:00,BTCUSDT,5m,92976.66,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,161.79428571428434,1000.0,1000.0,0.0,0.0
212,2025-12-03 09:15:00+00:00,BTCUSDT,5m,92904.68,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,154.24928571428504,1000.0,1000.0,0.0,0.0
213,2025-12-03 09:20:00+00:00,BTCUSDT,5m,92908.07,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,151.39357142857105,1000.0,1000.0,0.0,0.0
214,2025-12-03 09:25:00+00:00,BTCUSDT,5m,92934.49,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,145.22642857142742,1000.0,1000.0,0.0,0.0
215,2025-12-03 09:30:00+00:00,BTCUSDT,5m,92880.0,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,150.6185714285696,1000.0,1000.0,0.0,0.0
216,2025-12-03 09:35:00+00:00,BTCUSDT,5m,92930.0,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,150.88642857142673,1000.0,1000.0,0.0,0.0
217,2025-12-03 09:40:00+00:00,BTCUSDT,5m,92892.36,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,143.8299999999976,1000.0,1000.0,0.0,0.0
218,2025-12-03 09:45:00+00:00,BTCUSDT,5m,92969.93,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,135.69499999999763,1000.0,1000.0,0.0,0.0
219,2025-12-03 09:50:00+00:00,BTCUSDT,5m,93154.28,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,148.62857142856956,1000.0,1000.0,0.0,0.0
220,2025-12-03 09:55:00+00:00,BTCUSDT,5m,93178.46,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,146.4407142857121,1000.0,1000.0,0.0,0.0
221,2025-12-03 10:00:00+00:00,BTCUSDT,5m,93086.45,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,145.25499999999843,1000.0,1000.0,0.0,0.0
222,2025-12-03 10:05:00+00:00,BTCUSDT,5m,93093.27,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,144.05999999999872,1000.0,1000.0,0.0,0.0
223,2025-12-03 10:10:00+00:00,BTCUSDT,5m,93135.18,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,138.08428571428416,1000.0,1000.0,0.0,0.0
224,2025-12-03 10:15:00+00:00,BTCUSDT,5m,93209.99,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,129.76357142856952,1000.0,1000.0,0.0,0.0
225,2025-12-03 10:20:00+00:00,BTCUSDT,5m,93358.79,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,129.48142857142582,1000.2797628979012,1000.2797628979012,0.0,0.2797628979011506
226,2025-12-03 10:25:00+00:00,BTCUSDT,5m,93214.08,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.9098479508936728,131.45428571428263,1000.2797628979012,1000.2797628979012,0.0,0.2797628979011506
227,2025-12-03 10:30:00+00:00,BTCUSDT,5m,93120.2,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,140.8399999999965,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
228,2025-12-03 10:35:00+00:00,BTCUSDT,5m,92989.65,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,150.12285714285514,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
229,2025-12-03 10:40:00+00:00,BTCUSDT,5m,92944.72,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,148.8407142857125,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
230,2025-12-03 10:45:00+00:00,BTCUSDT,5m,93018.42,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,153.24428571428456,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
231,2025-12-03 10:50:00+00:00,BTCUSDT,5m,93034.58,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,153.96571428571355,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
232,2025-12-03 10:55:00+00:00,BTCUSDT,5m,92939.4,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,158.40142857142823,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
233,2025-12-03 11:00:00+00:00,BTCUSDT,5m,92910.0,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.7125275502633447,147.20999999999913,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
234,2025-12-03 11:05:00+00:00,BTCUSDT,5m,92942.54,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,148.5235714285705,1000.1519816788001,1000.2797628979012,0.01277454806551907,0.15198167880009805
235,2025-12-03 11:10:00+00:00,BTCUSDT,5m,92751.28,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.7440900515247848,152.26928571428496,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
236,2025-12-03 11:15:00+00:00,BTCUSDT,5m,92867.01,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.5758869727411824,163.9257142857137,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
237,2025-12-03 11:20:00+00:00,BTCUSDT,5m,93002.8,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,171.13571428571387,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
238,2025-12-03 11:25:00+00:00,BTCUSDT,5m,92995.32,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.5942137224185792,170.355714285714,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
239,2025-12-03 11:30:00+00:00,BTCUSDT,5m,92995.95,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,167.3785714285706,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
240,2025-12-03 11:35:00+00:00,BTCUSDT,5m,92982.73,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,158.14071428571333,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
241,2025-12-03 11:40:00+00:00,BTCUSDT,5m,92912.41,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,153.18714285714148,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
242,2025-12-03 11:45:00+00:00,BTCUSDT,5m,92991.59,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,147.5799999999976,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
