bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
200,200,BTCUSDT,5m,92839.33,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,166.67142857142815,1000.0,1000.0,0.0,0.0
201,201,BTCUSDT,5m,92859.98,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,162.76142857142779,1000.0,1000.0,0.0,0.0
202,202,BTCUSDT,5m,92916.79,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,145.83428571428522,1000.0,1000.0,0.0,0.0
203,203,BTCUSDT,5m,92814.56,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,142.25999999999996,1000.0,1000.0,0.0,0.0
204,204,BTCUSDT,5m,92840.76,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,145.0421428571426,1000.0,1000.0,0.0,0.0
205,205,BTCUSDT,5m,92811.09,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,142.92714285714257,1000.0,1000.0,0.0,0.0
206,206,BTCUSDT,5m,92800.08,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,144.3450000000001,1000.0,1000.0,0.0,0.0
207,207,BTCUSDT,5m,92715.61,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,148.2871428571421,1000.0,1000.0,0.0,0.0
208,208,BTCUSDT,5m,92765.65,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,141.05714285714203,1000.0,1000.0,0.0,0.0
209,209,BTCUSDT,5m,92905.2,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,146.64499999999887,1000.0,1000.0,0.0,0.0
210,210,BTCUSDT,5m,92804.49,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.9385527946420505,155.24999999999895,1000.0,1000.0,0.0,0.0
211,211,BTCUSDT,5m,92976.66,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,161.79428571428434,1000.0,1000.0,0.0,0.0
